"","X","Y","pa","grass.perc","dev.perc","wet.perc","wood.perc","ag.perc","precip","tmax","tmin","tmean"
"110",-94.915519,39.248932,1,0.237321795872048,0.419320519185758,0.00595786935243634,0.252358323285339,0.0845450031917157,874.772839487273,18.6921302521774,6.42033673561034,12.5561934765209
"111",-95.239694,38.953638,1,0.00733618233618234,0.982692307692308,0.000142450142450142,0.0094017094017094,0.000427350427350427,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"112",-95.236225,38.963928,1,0.0196623210087626,0.892783358267436,0.038113557027855,0.0340528602977844,0.015102942224122,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"113",-97.876922,38.088779,1,0.326101059612196,0.484249981979384,0.00836156563108196,0.130829669141498,0.0480069199163843,535.261447322319,20.8954633424785,5.72038000930052,13.307860404076
"114",-95.249092,38.918438,1,0.274579652322599,0.295454545454545,0.036335138216016,0.190795098318609,0.190652607580507,929.352050119051,18.7307507552666,6.23233131521642,12.4815198387695
"115",-94.869461,38.875885,1,0.204321780059906,0.507488232777065,0.0527742119526458,0.197618028811867,0.0371558978747682,937.037995592919,18.8311195958455,6.75307343574445,12.7920403523428
"116",-96.574467,39.215137,1,0.134956694590373,0.505821382933409,0.00688627005537413,0.0232145392588386,0.326423399119693,868.370301904459,18.9488293430408,5.40864726189838,12.1787015943248
"117",-97.340796,38.075588,1,0.130159187495498,0.352157314701433,0.00857163437297414,0.081466541813729,0.426636894043074,699.681416344132,20.6179558507458,6.30138821482179,13.459621619376
"118",-94.763437,39.007267,1,0.0864584074574824,0.770298156977158,0.00540809791503593,0.135487084608269,0.00177897957731445,903.705797432278,18.7491220364876,6.95861896760965,12.8538658190321
"119",-94.660132,38.944781,1,0.00748023081855097,0.960532877395455,0.00128232528318017,0.0295647218066538,0.000356201467550046,920.535638875195,18.8847941551932,7.24742011796381,13.0660468014188
"120",-94.711687,38.858961,1,0.193316232007981,0.74903805044891,0.00712555223029785,0.0407581587573037,0.00933447342169018,955.06557069637,18.7219032745485,7.05876394767415,12.8902837522039
"121",-95.24413,38.95266,1,0.0094722598105548,0.974360800512784,7.12199985756e-05,0.0153835196923296,0.0004273199914536,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"122",-94.922464,39.311286,1,0.00764547642644769,0.839657369389778,0.0252017556279201,0.0515361744301288,0.00120345462268158,831.981307116869,18.5381859082125,6.23349809222355,12.3857924858176
"123",-95.2395,38.953561,1,0.00768683274021352,0.981921708185053,0.000142348754448399,0.0098220640569395,0.000427046263345196,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"124",-97.876065,38.087934,1,0.319207207207207,0.48972972972973,0.00843243243243243,0.13218018018018,0.048,535.261447322319,20.8954633424785,5.72038000930052,13.307860404076
